record_id,scene_id,sensor,scene_date,label,notes,region,year,location_name,lon,lat,start_date,chip_path,labeled_at_utc
2025_1131_1,20250211T192429_20250211T192711_T10UCV,S2,2025-02-11,positive,,WCVI,2025,Two Rivers,-125.44,48.95,2025-02-10,C:\Users\James\Documents\HerringIdentificationProject\data\chips\positive\2025_1131_1__20250211T192429_20250211T192711_T10UCV.tif,2026-08-27T21:49:48Z
2025_1131_1,20250216T192521_20250216T192901_T09UYQ,S2,2025-02-16,unusable,,WCVI,2025,Two Rivers,-125.44,48.95,2025-02-10,,2026-08-27T21:49:52Z
2025_1131_1,20250221T192329_20250221T192527_T09UYQ,S2,2025-02-21,unusable,,WCVI,2025,Two Rivers,-125.44,48.95,2025-02-10,,2026-08-27T21:49:53Z
2025_1131_1,LC08_048026_20250208,L8,2025-02-08,unusable,,WCVI,2025,Two Rivers,-125.44,48.95,2025-02-10,,2026-08-27T21:49:33Z
2025_1144_1,20250211T192429_20250211T192711_T10UCV,S2,2025-02-11,positive,,WCVI,2025,Macoah Pass,-125.398009,48.968727,2025-02-10,C:\Users\James\Documents\HerringIdentificationProject\data\chips\positive\2025_1144_1__20250211T192429_20250211T192711_T10UCV.tif,2026-08-27T21:50:08Z
2025_1144_1,20250216T192521_20250216T192901_T10UCV,S2,2025-02-16,unusable,,WCVI,2025,Macoah Pass,-125.398009,48.968727,2025-02-10,,2026-08-27T21:50:15Z
2025_1144_1,20250221T192329_20250221T192527_T09UYQ,S2,2025-02-21,unusable,,WCVI,2025,Macoah Pass,-125.398009,48.968727,2025-02-10,,2026-08-27T21:50:15Z
2025_1144_1,LC08_048026_20250208,L8,2025-02-08,negative,,WCVI,2025,Macoah Pass,-125.398009,48.968727,2025-02-10,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1144_1__LC08_048026_20250208.tif,2026-08-27T21:50:07Z
2025_1200_1,20250226T192411_20250226T192503_T09UYQ,S2,2025-02-26,unusable,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,,2026-08-27T21:52:24Z
2025_1200_1,20250301T193351_20250301T193917_T09UYQ,S2,2025-03-01,unusable,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,,2026-08-27T21:52:25Z
2025_1200_1,20250303T192219_20250303T192601_T09UYQ,S2,2025-03-03,unusable,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,,2026-08-27T21:52:27Z
2025_1200_1,20250306T193159_20250306T193625_T09UYQ,S2,2025-03-06,negative,,WCVI,2025,Bawden Bay,-126.016389,49.290278,2025-02-28,C:\Users\James\Documents\HerringIdentificationProject\data\chips\negative\2025_1200_1__20250306T193159_20250306T193625_T09UYQ.tif,2026-08-27T21:52:32Z
